sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,Student Development Officer,51,Student Development Officer,54,Student Development Officer,54
Non-Profit,Development Officer Communication,50,Development Officer,11648,Development Officer,12895
Non-Profit,Child Development Officer,50,Child Development Officer,60,Child Development Officer,60
Non-Profit,Staff Development Officer,49,Staff Development Officer,49,Staff Development Officer,49
Non-Profit,Local Economic Development Officer,48,Local Economic Development Officer,49,Economic Development Officer,611
Non-Profit,Market Development Officer,47,Market Development Officer,54,Market Development Officer,54
Non-Profit,Major Gifts Vice President,45,Vice President,44689,Vice President,45508
Non-Profit,Campaign Fundraiser,45,Campaign Fundraiser,56,Campaign Fundraiser,56
Non-Profit,Trade Development Officer,45,Trade Development Officer,46,Trade Development Officer,46
Non-Profit,Community Economic Development Officer,42,Community Economic Development Officer,43,Community Economic Development Officer,43
Non-Profit,Arts Development Officer,41,Arts Development Officer,44,Development Officer,12895
Non-Profit,Territorial Development Officer,40,Territorial Development Officer,52,Development Officer,12895
Non-Profit,Industrial Development Officer,40,Industrial Development Officer,41,Development Officer,12895
Non-Profit,Institutional Development Officer,39,Development Officer,11648,Development Officer,12895
Non-Profit,Project Development Officer II,39,Project Development Officer II,39,Project Development Officer II,39
Non-Profit,Employment Development Officer,38,Employment Development Officer,38,Employment Development Officer,38
Non-Profit,Network Development Officer,37,Network Development Officer,38,Network Development Officer,38
Non-Profit,Regional Major Gifts Officer,36,Regional Officer,1214,Regional Officer,1214
Non-Profit,Volunteering Development Officer,35,Development Officer,11648,Development Officer,12895
Non-Profit,Training Development Officer,35,Training Development Officer,40,Training Development Officer,40
Non-Profit,General Development Officer,34,Development Officer,11648,Development Officer,12895
Non-Profit,Tourism Development Officer,34,Tourism Development Officer,40,Development Officer,12895
Non-Profit,Organization Development Officer,34,Organization Development Officer,36,Development Officer,12895
Non-Profit,Senior Corporate Fundraiser,33,Senior Fundraiser,430,Senior Fundraiser,430
Non-Profit,Product Development Officer,33,Product Development Officer,37,Product Development Officer,37
Non-Profit,Education Development Officer,32,Education Development Officer,63,Education Development Officer,63
Non-Profit,Professional Development Officer,32,Professional Development Officer,37,Professional Development Officer,37
Non-Profit,Door Fundraiser Door,32,Door Fundraiser Door,32,Door Fundraiser Door,32
Non-Profit,National Development Officer,31,National Development Officer,36,National Development Officer,36
Non-Profit,Fundraising Development Officer,29,Development Officer,11648,Development Officer,12895
Non-Profit,Agricultural Development Officer,29,Agricultural Development Officer,31,Development Officer,12895
Non-Profit,International Business Development Officer,28,International Business Development Officer,30,International Business Development Officer,30
Non-Profit,Grants Development Officer,27,Development Officer,11648,Development Officer,12895
Non-Profit,Interim Chief Development Officer,27,Development Chief Officer,2184,Development Chief Officer,2184
Non-Profit,Social Enterprise Development Officer,27,Social Development Officer,197,Social Development Officer,197
Non-Profit,Agriculture Development Officer,27,Agriculture Development Officer,30,Development Officer,12895
Non-Profit,Area Development Officer,27,Area Development Officer,30,Area Development Officer,30
Non-Profit,Health Development Officer,27,Health Development Officer,30,Health Development Officer,30
Non-Profit,Workforce Development Officer,27,Workforce Development Officer,28,Development Officer,12895
Non-Profit,Foundation Development Officer,25,Development Officer,11648,Development Officer,12895
Non-Profit,Associate Director Major Gifts,25,Major Gifts Associate Director,179,Associate Director,16947
Non-Profit,Communication Development Officer,24,Development Officer,11648,Development Officer,12895
Non-Profit,Major Gifts Regional Director,24,Regional Director,9137,Regional Director,10463
Non-Profit,Senior Trust Fundraiser,24,Senior Fundraiser,430,Senior Fundraiser,430
Non-Profit,Development Major Gifts Director,22,Major Gifts Director,1486,Director,216626
Non-Profit,Corporate Partnerships Fundraiser,22,Corporate Fundraiser,355,Corporate Fundraiser,355
Non-Profit,Assistant Community Development Officer,22,Assistant Development Officer,142,Assistant Development Officer,142
Non-Profit,Non Profit Fundraiser,22,Non Profit Fundraiser,32,Non Profit Fundraiser,32
Non-Profit,Systems Development Officer,22,Systems Development Officer,25,Systems Development Officer,25
Non-Profit,Senior Economic Development Officer,22,Senior Economic Development Officer,22,Senior Economic Development Officer,22
Non-Profit,New Business Development Officer,22,New Business Development Officer,22,Business Development Officer,1703
Non-Profit,Skills Development Officer,22,Skills Development Officer,22,Development Officer,12895
Non-Profit,Curriculum Development Officer,22,Curriculum Development Officer,22,Development Officer,12895
Non-Profit,Proposal Development Officer,21,Development Officer,11648,Development Officer,12895
Non-Profit,District Development Officer,21,Development Officer,11648,Development Officer,12895
Non-Profit,Career Development Officer,21,Career Development Officer,22,Career Development Officer,22
Non-Profit,Childcare Development Officer,20,Development Officer,11648,Development Officer,12895
Non-Profit,Regional Economic Development Officer,20,Regional Development Officer,330,Regional Development Officer,330
Non-Profit,Industry Development Officer,20,Industry Development Officer,23,Development Officer,12895
Non-Profit,Senior Philanthropy Manager,19,Senior Manager,13006,Senior Manager,16273
Non-Profit,Urban Development Officer,19,Development Officer,11648,Development Officer,12895
Non-Profit,Research Development Officer,19,Research Development Officer,31,Research Development Officer,31
Non-Profit,Supporter Development Officer,18,Development Officer,11648,Development Officer,12895
Non-Profit,Financial Development Officer,18,Development Officer,11648,Development Officer,12895
Non-Profit,Sector Development Officer,18,Development Officer,11648,Development Officer,12895
Non-Profit,Alumni Fundraiser,18,Alumni Fundraiser,22,Alumni Fundraiser,22
Non-Profit,Housing Development Officer,18,Housing Development Officer,21,Housing Development Officer,21
Non-Profit,Sales Development Officer,18,Sales Development Officer,18,Sales Development Officer,18
Non-Profit,Principal Development Officer,17,Principal Officer,690,Principal Officer,710
Non-Profit,Major Gifts Development Associate,17,Major Gifts Associate,175,Major Gifts Associate,175
Non-Profit,Senior Major Gifts Manager,16,Senior Manager,13006,Senior Manager,16273
Non-Profit,Microenterprise Development Officer,16,Development Officer,11648,Development Officer,12895
Non-Profit,Neighbourhood Development Officer,16,Development Officer,11648,Development Officer,12895
Non-Profit,Audience Development Officer,16,Development Officer,11648,Development Officer,12895
Non-Profit,Major Gifts National Director,16,Major Gifts Director,1486,Director,216626
Non-Profit,Major Gifts Development Manager,16,Major Gifts Manager,455,Manager,278939
Non-Profit,Play Development Officer,15,Development Officer,11648,Development Officer,12895
Non-Profit,Early Childhood Development Officer,15,Development Officer,11648,Development Officer,12895
Non-Profit,Ministry Development Officer,15,Development Officer,11648,Development Officer,12895
Non-Profit,Alumni Development Officer,15,Development Officer,11648,Development Officer,12895
Non-Profit,Senior Corporate Development Officer,15,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Senior Resourcer Development Officer,15,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Junior Business Development Officer,15,Junior Development Officer,82,Junior Development Officer,82
Non-Profit,Job Development Officer,14,Development Officer,11648,Development Officer,12895
Non-Profit,District Community Development Officer,14,Community Development Officer,1794,Community Development Officer,1794
Non-Profit,Partnerships Development Officer,14,Partnership Development Officer,123,Development Officer,12895
Non-Profit,Major Gifts Executive Director,13,Executive Director,107275,Executive Director,110583
Non-Profit,Funding Development Officer,13,Development Officer,11648,Development Officer,12895
Non-Profit,Senior Project Development Officer,13,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Major Gifts Development Director,13,Major Gifts Director,1486,Director,216626
Non-Profit,Corporate Philanthropy Manager,13,Corporate Manager,1095,Corporate Manager,2289
Non-Profit,Regional Program Development Officer,13,Regional Program Officer,337,Regional Program Officer,337
Non-Profit,Deputy Chief Development Officer,13,Deputy Chief Officer,126,Deputy Chief Officer,126
Non-Profit,Field Development Officer,12,Development Officer,11648,Development Officer,12895
Non-Profit,Relationship Development Officer,12,Development Officer,11648,Development Officer,12895
Non-Profit,Club Development Officer,12,Development Officer,11648,Development Officer,12895
Non-Profit,Association Development Officer,12,Development Officer,11648,Development Officer,12895
Non-Profit,Regional Community Fundraiser,12,Regional Fundraiser,232,Regional Fundraiser,232
Non-Profit,Major Gifts Development Coordinator,12,Major Gifts Coordinator,160,Major Gifts Coordinator,160
Non-Profit,Campaign Development Officer,11,Development Officer,11648,Development Officer,12895
Non-Profit,Practice Development Officer,11,Development Officer,11648,Development Officer,12895
Non-Profit,Agency Development Officer,11,Development Officer,11648,Development Officer,12895
Non-Profit,Learning Development Officer,11,Development Officer,11648,Development Officer,12895
Non-Profit,Senior Fund Development Officer,11,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Lead Development Officer,11,Lead Officer,293,Lead Officer,293
Non-Profit,Individual Giving Development Officer,11,Individual Giving Officer,180,Officer,47467
Non-Profit,Major Gifts Development Associate Director,11,Major Gifts Associate Director,179,Associate Director,16947
Non-Profit,Intern Development Officer,11,Intern Officer,74,Intern Officer,74
Non-Profit,Group Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Branch Development Officer,10,Development Officer,11648,Development Officer,12895
