Term,Frequency
database,81
CRM,35
Teams,29
Excel,24
Salesforce,22
Word,20
Microsoft Office,18
Advance,17
iWave,15
research tools,15
data analytics,15
Blackbaud,12
ResearchPoint,10
data management,10
LexisNexis,10
PowerPoint,9
Foundation Directory,6
Tessitura,4
LinkedIn,4
DonorSearch,3
Zoom,3
prospect research tools,2
Raiser's Edge,2
Google Sheets,2
reporting tools,2
fundraising software,2
Google Suite,2
Asana,1
DOMO,1
JIRA,1
