sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified,,
Non-Profit,Prospect Development Data Assistant,1,Development Assistant,6537,Development Assistant,6822,,
Non-Profit,Prospect Development Assistant,4,Development Assistant,6537,Development Assistant,6822,,
Non-Profit,Senior Prospect Management Associate,1,Senior Associate,6361,Senior Associate,6383,,
Non-Profit,Senior Prospect Analyst,3,Senior Analyst,6223,Senior Analyst,6714,,
Non-Profit,Prospect Management Assistant,2,Management Assistant,5676,Management Assistant,6254,,
Non-Profit,Prospect Research Officer,33,Research Officer,4839,Research Officer,4856,,
Non-Profit,Prospect Development Consultant,2,Development Consultant,4681,Development Consultant,5146,,
Non-Profit,Prospect Research Student Worker,1,Student Worker,4543,Student Worker,4565,,
Non-Profit,Prospect Management Consultant,1,Management Consultant,4389,Management Consultant,5038,,
Non-Profit,Prospect Development Specialist,3,Development Specialist,3442,Development Specialist,4251,,
Non-Profit,Prospect Development Data Specialist,1,Development Specialist,3442,Development Specialist,4251,,
Non-Profit,Prospecting Development Specialist,1,Development Specialist,3442,Development Specialist,4251,,
Non-Profit,Prospect Research The Director Assistant,2,Director Assistant,3263,Director Assistant,3456,,
Non-Profit,Prospect Research Consultant,15,Research Consultant,3027,Research Consultant,3045,,
Non-Profit,Prospect Research Development Associate Director,1,Development Associate Director,2924,Development Associate Director,2955,,
Non-Profit,Prospect Development Associate Director,5,Development Associate Director,2924,Development Associate Director,2955,,
Non-Profit,Senior Prospect Researcher,22,Senior Researcher,2572,Senior Researcher,2572,,
Non-Profit,Prospect Management Senior Researcher,1,Senior Researcher,2572,Senior Researcher,2572,,
Non-Profit,Prospect Development Assistant Director,2,Development Assistant Director,2190,Development Assistant Director,2190,,
Non-Profit,Prospect Development Senior Director,2,Development Senior Director,1654,Development Senior Director,1654,,
Non-Profit,Prospect Development Analyst,12,Development Analyst,1429,Development Analyst,1429,,
Non-Profit,Prospect Management Analyst,19,Management Analyst,1411,Management Analyst,1579,,
Non-Profit,Analyst Prospect Management,1,Management Analyst,1411,Management Analyst,1579,,
Non-Profit,Prospect Research Specialist,21,Research Specialist,1148,Research Specialist,1148,,
Non-Profit,Prospect Information Manager,10,Information Manager,1105,Information Manager,1148,,
Non-Profit,Prospect Management Officer,3,Management Officer,1100,Management Officer,1703,,
Non-Profit,Senior Prospect Research Associate,2,Senior Research Associate,1046,Senior Research Associate,1046,,
Non-Profit,Prospect Management Specialist,4,Management Specialist,954,Management Specialist,1394,,
Non-Profit,Prospect Strategy Director,3,Strategy Director,937,Director,216626,,
Non-Profit,Senior Prospect Research Analyst,16,Senior Research Analyst,904,Senior Research Analyst,904,,
Non-Profit,Prospect Research Technician,2,Research Technician,893,Research Technician,893,,
Non-Profit,Prospect Management Director,44,Management Director,892,Management Director,1816,,
Non-Profit,Senior Prospect Development Manager,1,Senior Development Manager,811,Senior Development Manager,811,,
Non-Profit,Prospect Information Analyst,4,Information Analyst,773,Information Analyst,773,,
Non-Profit,Prospect Development Executive,4,Development Executive,702,Development Executive,702,,
Non-Profit,Assistant Prospect Researcher,2,Assistant Researcher,680,Assistant Researcher,680,,
Non-Profit,Prospect Management Associate,8,Management Associate,669,Management Associate,702,,
Non-Profit,Prospect Management Coordinator,18,Management Coordinator,593,Management Coordinator,1207,,
Non-Profit,Prospect Information Coordinator,2,Information Coordinator,481,Information Coordinator,481,,
Non-Profit,Prospect Research Executive,5,Research Executive,443,Research Executive,443,,
Non-Profit,Senior Prospect Research Officer,3,Senior Research Officer,434,Senior Research Officer,434,,
Non-Profit,Freelance Prospect Researcher,3,Freelance Researcher,433,Freelance Researcher,433,,
Non-Profit,Major Gifts Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Prospect Researcher Corporate,1,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Foundation Prospect Researcher,7,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Prospect Researcher,374,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Summer Prospect Researcher,1,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Donor Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Prospect Development Researcher,3,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Campaign Prospect Researcher,4,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Development Prospect Researcher,2,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Volunteer Prospect Researcher,1,Prospect Researcher,406,Prospect Researcher,406,,
Non-Profit,Prospect Research Volunteer,5,Research Volunteer,334,Research Volunteer,334,,
Non-Profit,Prospect Strategy Analyst,4,Strategy Analyst,279,Strategy Analyst,279,,
Non-Profit,Senior Prospect Data Analyst,1,Senior Data Analyst,246,Senior Data Analyst,246,,
Non-Profit,Prospect Research Administrator,1,Research Administrator,239,Research Administrator,239,,
Non-Profit,Prospect Research Supervisor,1,Research Supervisor,168,Research Supervisor,168,,
Non-Profit,Senior Prospect Development Coordinator,1,Senior Development Coordinator,166,Senior Development Coordinator,166,,
Non-Profit,Prospect Research Professional,1,Research Professional,162,Research Professional,162,,
Non-Profit,Prospect Research Vice President,1,Research Vice President,156,Research Vice President,156,,
Non-Profit,Senior Prospect Management Analyst,3,Senior Management Analyst,154,Senior Management Analyst,154,,
Non-Profit,Senior Prospect Development Analyst,1,Senior Development Analyst,150,Senior Development Analyst,150,,
Non-Profit,Senior Prospect Research Executive,1,Senior Research Executive,146,Senior Research Executive,146,,
Non-Profit,Intern Prospecting Manager,2,Intern Manager,140,Intern Manager,140,,
Non-Profit,Major Donor Prospect Manager,3,Major Donor Manager,136,Manager,278939,,
Non-Profit,Prospect Research Assistant Director,26,Research Assistant Director,135,Research Assistant Director,135,,
Non-Profit,Prospect Research Associate Director,12,Research Associate Director,126,Research Associate Director,126,,
Non-Profit,Prospect Research Interim Director,1,Prospect Research Director,123,Research Director,3453,,
Non-Profit,Director Prospect Research,3,Prospect Research Director,123,Research Director,3453,,
Non-Profit,Prospect Research Director,119,Prospect Research Director,123,Research Director,3453,,
Non-Profit,Prospect Development Research Analyst,1,Prospect Research Analyst,113,Research Analyst,8584,,
Non-Profit,Prospect Research Manager,112,Prospect Research Manager,113,Research Manager,3076,,
Non-Profit,Prospect Research Analyst,112,Prospect Research Analyst,113,Research Analyst,8584,,
Non-Profit,Manager Prospect Research,1,Prospect Research Manager,113,Research Manager,3076,,
Non-Profit,Major Gifts Prospect Research Intern,1,Major Gifts Intern,112,Major Gifts Intern,112,,
Non-Profit,Prospect Research Major Gifts Intern,1,Major Gifts Intern,112,Major Gifts Intern,112,,
Non-Profit,Prospect Research Coordinator,66,Prospect Research Coordinator,66,Research Coordinator,3062,,
Non-Profit,Prospecting Intern,45,Prospecting Intern,65,Prospecting Intern,65,,
Non-Profit,Prospect Research Contractor,1,Research Contractor,50,Research Contractor,50,,
Non-Profit,Prospect Information Management Intern,1,Information Management Intern,50,Information Management Intern,50,,
Non-Profit,Independent Prospect Research Consultant,1,Independent Research Consultant,48,Independent Research Consultant,48,,
Non-Profit,Prospecting Manager,43,Prospecting Manager,44,Manager,278939,,
Non-Profit,Prospecting Account Development Representative,2,Account Development Representative,42,Account Development Representative,42,,
Non-Profit,Prospect Research Student Assistant,1,Prospect Research Assistant,37,Research Assistant,58676,,
Non-Profit,Development Prospect Research Assistant,1,Prospect Research Assistant,37,Research Assistant,58676,,
Non-Profit,Prospect Research Assistant,35,Prospect Research Assistant,37,Research Assistant,58676,,
Non-Profit,Prospect Manager,31,Prospect Manager,32,Manager,278939,,
Non-Profit,Prospect Tracking Manager,1,Prospect Manager,32,Manager,278939,,
Non-Profit,Development Prospect Research Intern,1,Development Research Intern,29,Development Research Intern,29,,
Non-Profit,Freelance Prospect Research Consultant,1,Freelance Research Consultant,28,Freelance Research Consultant,28,,
Non-Profit,Prospecting Assistant,19,Prospecting Assistant,19,Assistant,99968,,
Health Care,Prospect Research Assistant,5,Research Assistant,101943,Research Assistant,105282,,
Health Care,Prospect Research Student Assistant,1,Research Assistant,101943,Research Assistant,105282,,
Health Care,Prospect Research Associate,2,Research Associate,18086,Research Associate,18155,,
Health Care,Prospect Research Intern,4,Research Intern,13483,Research Intern,13559,,
Health Care,Prospect Management Associate Director,1,Associate Director,12144,Associate Director,12244,,
Health Care,Senior Prospect Analyst,1,Senior Analyst,9979,Senior Analyst,12335,,
Health Care,Prospect Research Coordinator,10,Research Coordinator,8083,Research Coordinator,8144,,
Health Care,Prospect Development Manager,1,Development Manager,6029,Development Manager,8105,,
Health Care,Prospect Development Director,1,Development Director,5601,Development Director,6654,,
Health Care,Prospect Research Analyst,11,Research Analyst,5102,Research Analyst,5203,,
Health Care,Prospect Research Specialist,10,Research Specialist,2904,Research Specialist,2904,,
Health Care,Prospect Research Officer,6,Research Officer,2592,Research Officer,2592,,
Health Care,Prospect Research Director,10,Research Director,2430,Research Director,2482,,
Health Care,Prospect Research Manager,7,Research Manager,2253,Research Manager,2496,,
Health Care,Manager Prospect Research,1,Research Manager,2253,Research Manager,2496,,
Health Care,Senior Prospect Researcher,3,Senior Researcher,1610,Senior Researcher,1610,,
Health Care,Prospect Development Data Assistant,1,Development Assistant,1367,Development Assistant,1417,,
Health Care,Senior Prospect Research Associate,1,Senior Research Associate,1311,Senior Research Associate,1311,,
Health Care,Prospect Management Director,1,Management Director,1169,Management Director,5394,,
Health Care,Prospect Management Specialist,2,Management Specialist,1166,Management Specialist,2167,,
Health Care,Prospect Management Coordinator,1,Management Coordinator,854,Management Coordinator,1208,,
Health Care,Prospect Research Volunteer,1,Research Volunteer,793,Research Volunteer,793,,
Health Care,Senior Prospect Research Analyst,3,Senior Research Analyst,717,Senior Research Analyst,717,,
Health Care,Prospect Development Associate Director,1,Development Associate Director,287,Development Associate Director,287,,
Health Care,Senior Prospect Management Analyst,1,Senior Management Analyst,250,Senior Management Analyst,250,,
Health Care,Prospect Research Executive,1,Research Executive,218,Research Executive,218,,
Health Care,Freelance Prospect Researcher,1,Freelance Researcher,115,Freelance Researcher,115,,
Health Care,Prospect Research Assistant Director,2,Research Assistant Director,100,Research Assistant Director,100,,
Health Care,Senior Prospect Research Executive,1,Senior Research Executive,94,Senior Research Executive,94,,
Health Care,Prospect Researcher,44,Prospect Researcher,46,Researcher,19679,,
Health Care,Development Prospect Researcher,1,Prospect Researcher,46,Researcher,19679,,
"Arts, Entertainment & Recreation",Prospect Research Assistant,2,Research Assistant,9406,Research Assistant,9957,,
"Arts, Entertainment & Recreation",Prospect Research Associate Director,1,Associate Director,3641,Associate Director,3728,,
"Arts, Entertainment & Recreation",Prospect Research Intern,4,Research Intern,2148,Research Intern,2148,,
"Arts, Entertainment & Recreation",Prospect Research Associate,2,Research Associate,2002,Research Associate,2002,,
"Arts, Entertainment & Recreation",Prospect Research Student Associate,1,Research Associate,2002,Research Associate,2002,,
"Arts, Entertainment & Recreation",Senior Prospect Development Analyst,1,Senior Analyst,1674,Senior Analyst,1769,,
"Arts, Entertainment & Recreation",Prospect Development Coordinator,1,Development Coordinator,1573,Development Coordinator,1607,,
"Arts, Entertainment & Recreation",Prospect Research Analyst,1,Research Analyst,856,Research Analyst,884,,
"Arts, Entertainment & Recreation",Prospect Development Specialist,1,Development Specialist,563,Development Specialist,563,,
"Arts, Entertainment & Recreation",Prospect Development Data Specialist,1,Development Specialist,563,Development Specialist,563,,
"Arts, Entertainment & Recreation",Prospect Research Officer,1,Research Officer,493,Research Officer,493,,
"Arts, Entertainment & Recreation",Prospect Research Manager,10,Research Manager,426,Research Manager,459,,
"Arts, Entertainment & Recreation",Prospect Research Coordinator,9,Research Coordinator,403,Research Coordinator,403,,
"Arts, Entertainment & Recreation",Prospect Research Director,1,Research Director,393,Research Director,393,,
"Arts, Entertainment & Recreation",Senior Prospect Researcher,5,Senior Researcher,323,Senior Researcher,323,,
"Arts, Entertainment & Recreation",Prospect Management Director,1,Management Director,304,Management Director,390,,
"Arts, Entertainment & Recreation",Assistant Prospect Researcher,1,Assistant Researcher,138,Assistant Researcher,138,,
"Arts, Entertainment & Recreation",Prospect Strategy Director,1,Strategy Director,136,Director,99860,,
"Arts, Entertainment & Recreation",Prospect Research Executive,2,Research Executive,89,Research Executive,89,,
"Arts, Entertainment & Recreation",Senior Prospect Research Analyst,1,Senior Research Analyst,74,Senior Research Analyst,74,,
"Arts, Entertainment & Recreation",Prospect Research Volunteer,1,Research Volunteer,70,Research Volunteer,70,,
"Arts, Entertainment & Recreation",Prospect Strategy Analyst,1,Strategy Analyst,54,Strategy Analyst,54,,
"Arts, Entertainment & Recreation",Prospect Researcher,29,Prospect Researcher,29,Researcher,5336,,
Travel & Tourism,Prospect Management Consultant,1,Management Consultant,1608,Management Consultant,1662,,
Travel & Tourism,Prospect Development Specialist,1,Development Specialist,614,Development Specialist,662,,
Travel & Tourism,Prospect Research Intern,2,Research Intern,613,Research Intern,613,,
Travel & Tourism,Prospect Research Officer,1,Research Officer,225,Research Officer,225,,
Accounting & Legal,Prospect Research Assistant,6,Research Assistant,43685,Research Assistant,45944,,
Accounting & Legal,Prospect Research Associate Director,1,Associate Director,8888,Associate Director,8964,,
Accounting & Legal,Prospect Research Associate,3,Research Associate,7130,Research Associate,7573,,
Accounting & Legal,Prospect Research Intern,2,Research Intern,5283,Research Intern,5711,,
Accounting & Legal,Prospect Research Analyst,5,Research Analyst,3557,Research Analyst,4122,,
Accounting & Legal,Prospect Development Intern,1,Development Intern,1590,Development Intern,1644,,
Accounting & Legal,Prospect Management Analyst,1,Management Analyst,1031,Management Analyst,1165,,
Accounting & Legal,Prospect Research Officer,1,Research Officer,791,Research Officer,791,,
Accounting & Legal,Prospect Research Director,1,Research Director,647,Research Director,647,,
Accounting & Legal,Prospect Research Consultant,1,Research Consultant,600,Research Consultant,600,,
Accounting & Legal,Prospect Research Coordinator,2,Research Coordinator,548,Research Coordinator,548,,
Accounting & Legal,Prospect Research Manager,1,Research Manager,532,Research Manager,579,,
Accounting & Legal,Manager Prospect Research,1,Research Manager,532,Research Manager,579,,
Accounting & Legal,Prospect Development Consultant,1,Development Consultant,502,Development Consultant,547,,
Accounting & Legal,Assistant Prospect Researcher,1,Assistant Researcher,227,Assistant Researcher,227,,
Transportation & Logistics,Prospect Research Assistant,1,Research Assistant,5243,Research Assistant,5600,,
Transportation & Logistics,Prospect Research Analyst,1,Research Analyst,1573,Research Analyst,1615,,
Transportation & Logistics,Prospect Management Analyst,1,Management Analyst,1003,Management Analyst,1142,,
