sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified,,
Information Technology,Volunteer Prospect Researcher,1,Volunteer Researcher,105,Volunteer Researcher,105,,
Information Technology,Prospect Researcher,45,Prospect Researcher,47,Researcher,39671,,
Information Technology,Donor Prospect Researcher,2,Prospect Researcher,47,Researcher,39671,,
Information Technology,Prospecting Manager,38,Prospecting Manager,39,Manager,1025828,,
Information Technology,Prospecting Assistant,33,Prospecting Assistant,33,Assistant,104528,,
Government,Prospect Research Assistant,2,Research Assistant,18460,Research Assistant,19343,,
Government,Prospect Research Analyst,9,Research Analyst,5808,Research Analyst,6057,,
Government,Prospect Research Associate,2,Research Associate,5250,Research Associate,5250,,
Government,Prospect Research Officer,1,Research Officer,3191,Research Officer,3233,,
Government,Prospect Research Intern,1,Research Intern,3069,Research Intern,3069,,
Government,Prospect Development Specialist,1,Development Specialist,1532,Development Specialist,2399,,
Government,Prospect Research Manager,3,Research Manager,1136,Research Manager,1194,,
Government,Prospect Research Coordinator,1,Research Coordinator,1092,Research Coordinator,1092,,
Government,Prospect Management Director,1,Management Director,903,Management Director,1073,,
Government,Prospect Research Consultant,1,Research Consultant,623,Research Consultant,623,,
Government,Prospect Development Analyst,1,Development Analyst,478,Development Analyst,478,,
Government,Freelance Prospect Researcher,2,Freelance Researcher,132,Freelance Researcher,132,,
Government,Intern Prospecting Manager,1,Intern Manager,86,Intern Manager,86,,
Government,Prospect Research Assistant Director,1,Research Assistant Director,61,Research Assistant Director,61,,
Government,Prospect Researcher,20,Prospect Researcher,20,Researcher,10982,,
Finance,Prospect Management Associate Director,1,Associate Director,38317,Associate Director,38517,,
Finance,Prospect Research Assistant,3,Research Assistant,33649,Research Assistant,35323,,
Finance,Prospect Research Analyst,7,Research Analyst,29128,Research Analyst,29689,,
Finance,Prospect Management Assistant Director,1,Assistant Director,13179,Assistant Director,13878,,
Finance,Prospect Research Intern,7,Research Intern,10215,Research Intern,10323,,
Finance,Prospect Management Associate,1,Management Associate,6129,Management Associate,6151,,
Finance,Prospect Development Director,2,Development Director,4589,Development Director,4977,,
Finance,Prospect Development Consultant,3,Development Consultant,3162,Development Consultant,3824,,
Finance,Prospect Research Manager,1,Research Manager,2786,Research Manager,2810,,
Finance,Prospect Management Officer,1,Management Officer,1814,Management Officer,2182,,
Finance,Prospect Management Director,1,Management Director,1694,Management Director,2010,,
Finance,Prospect Research Officer,1,Research Officer,1553,Research Officer,1553,,
Finance,Prospect Development Analyst,1,Development Analyst,1507,Development Analyst,1624,,
Finance,Prospect Management Coordinator,1,Management Coordinator,746,Management Coordinator,827,,
Finance,Prospect Research Coordinator,4,Research Coordinator,710,Research Coordinator,779,,
Finance,Intern Prospecting Manager,1,Intern Manager,208,Intern Manager,208,,
Finance,Prospecting Manager,64,Prospecting Manager,66,Manager,655286,,
Finance,Prospect Research Assistant Director,1,Research Assistant Director,62,Research Assistant Director,62,,
Consumer Services,Prospect Research Assistant,1,Research Assistant,1382,Research Assistant,1563,,
Consumer Services,Prospect Development Specialist,1,Development Specialist,368,Development Specialist,430,,
"Construction, Repair & Maintenance",Prospect Research Assistant,1,Research Assistant,3617,Research Assistant,3899,,
"Construction, Repair & Maintenance",Prospect Research Assistant Director,1,Assistant Director,2565,Assistant Director,2592,,
Business Services,Prospect Research Student Assistant,3,Research Assistant,302968,Research Assistant,312819,,
Business Services,Prospect Research Assistant,17,Research Assistant,302968,Research Assistant,312819,,
Business Services,Prospect Research Student Associate,2,Research Associate,97828,Research Associate,99179,,
Business Services,Prospect Research Associate,12,Research Associate,97828,Research Associate,99179,,
Business Services,Prospect Research Intern,20,Research Intern,53043,Research Intern,54286,,
Business Services,Prospect Management Associate Director,1,Associate Director,52368,Associate Director,53620,,
Business Services,Prospect Development Manager,1,Development Manager,32388,Development Manager,50276,,
Business Services,Prospecting Team Member,3,Team Member,28683,Team Member,33435,,
Business Services,Prospect Management Assistant,1,Management Assistant,26434,Management Assistant,28637,,
Business Services,Prospect Research Manager,19,Research Manager,22633,Research Manager,27673,,
Business Services,Senior Prospect Researcher,7,Senior Researcher,19539,Senior Researcher,19956,,
Business Services,Prospect Development Director,5,Development Director,18637,Development Director,22387,,
Business Services,Director Prospect Research,2,Research Director,17036,Research Director,17837,,
Business Services,Prospect Research Director,13,Research Director,17036,Research Director,17837,,
Business Services,Prospect Research Officer,9,Research Officer,16786,Research Officer,16974,,
Business Services,Prospect Research Consultant,6,Research Consultant,13937,Research Consultant,14272,,
Business Services,Prospect Development Intern,1,Development Intern,12092,Development Intern,13083,,
Business Services,Prospect Research Coordinator,7,Research Coordinator,11489,Research Coordinator,11603,,
Business Services,Prospect Development Officer,1,Development Officer,9206,Development Officer,10671,,
Business Services,Senior Prospect Research Analyst,3,Senior Research Analyst,8558,Senior Research Analyst,8616,,
Business Services,Prospect Research Specialist,4,Research Specialist,8437,Research Specialist,8461,,
Business Services,Prospect Development Assistant,2,Development Assistant,6464,Development Assistant,7196,,
Business Services,Assistant Prospect Researcher,1,Assistant Researcher,4847,Assistant Researcher,4847,,
Business Services,Prospect Management Analyst,5,Management Analyst,4166,Management Analyst,5963,,
Business Services,Prospect Development Analyst,3,Development Analyst,3957,Development Analyst,4282,,
Business Services,Prospect Management Specialist,2,Management Specialist,2815,Management Specialist,5156,,
Business Services,Senior Prospect Data Analyst,1,Senior Data Analyst,2726,Senior Data Analyst,2726,,
Business Services,Prospect Management Director,1,Management Director,2500,Management Director,4228,,
Business Services,Prospect Management Associate,1,Management Associate,2407,Management Associate,2674,,
Business Services,Prospect Strategy Analyst,3,Strategy Analyst,2261,Strategy Analyst,2261,,
Business Services,Senior Prospect Research Officer,1,Senior Research Officer,2223,Senior Research Officer,2223,,
Business Services,Prospect Management Coordinator,1,Management Coordinator,1956,Management Coordinator,3144,,
Business Services,Freelance Prospect Researcher,2,Freelance Researcher,1906,Freelance Researcher,2080,,
Business Services,Prospect Research Administrator,1,Research Administrator,1247,Research Administrator,1278,,
Business Services,Prospect Information Coordinator,1,Information Coordinator,1016,Information Coordinator,1044,,
Business Services,Senior Prospect Development Manager,1,Senior Development Manager,988,Senior Development Manager,1095,,
Business Services,Prospect Research Associate Director,10,Associate Research Director,929,Associate Research Director,929,,
Business Services,Prospect Development Assistant Director,1,Development Assistant Director,696,Development Assistant Director,696,,
Business Services,Volunteer Prospect Researcher,1,Volunteer Researcher,538,Volunteer Researcher,538,,
Business Services,Prospecting Account Development Representative,4,Account Development Representative,526,Account Development Representative,526,,
Business Services,Intern Prospecting Manager,5,Intern Manager,495,Intern Manager,563,,
Business Services,Prospect Research Assistant Director,3,Research Assistant Director,283,Research Assistant Director,311,,
Business Services,Prospect Research Contractor,1,Research Contractor,271,Research Contractor,271,,
Business Services,Prospecting Manager,167,Prospecting Manager,169,Manager,1592698,,
Business Services,Prospect Researcher,154,Prospect Researcher,157,Researcher,157421,,
Business Services,Donor Prospect Researcher,3,Prospect Researcher,157,Researcher,157421,,
Business Services,Prospect Management Assistant Director,1,Management Assistant Director,149,Management Assistant Director,149,,
Business Services,Prospect Information Management Intern,1,Information Management Intern,92,Information Management Intern,92,,
Business Services,Prospecting Intern,41,Prospecting Intern,63,Prospecting Intern,63,,
Business Services,Prospecting Assistant,60,Prospecting Assistant,61,Assistant,440617,,
Business Services,Prospect Manager,46,Prospect Manager,50,Manager,1592698,,
Business Services,Prospect Research Analyst,33,Prospect Research Analyst,34,Research Analyst,45558,,
Biotech & Pharmaceuticals,Prospect Research Assistant,2,Research Assistant,60531,Research Assistant,61279,,
Biotech & Pharmaceuticals,Prospect Management Director,1,Management Director,391,Management Director,544,,
Biotech & Pharmaceuticals,Prospect Management Coordinator,1,Management Coordinator,288,Management Coordinator,288,,
Aerospace & Defense,Prospect Research Specialist,1,Research Specialist,233,Research Specialist,233,,
