sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,People Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Disability,1,Development Officer,11648,Development Officer,12895
Non-Profit,Global Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Touristic Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Real Estate Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Trading Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Faith Communities Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Franchise Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Human Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Sub Saharan Africa,1,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Trusts,3,Development Officer,11648,Development Officer,12895
Non-Profit,Credit Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Portfolio Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer MS,1,Development Officer,11648,Development Officer,12895
Non-Profit,Advocacy Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Communication Development Officer,24,Development Officer,11648,Development Officer,12895
Non-Profit,Third Sector Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Charity Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Microenterprise Development Officer,16,Development Officer,11648,Development Officer,12895
Non-Profit,Bid Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Strategy Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Ile De France And Overseas Departments And Territories Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Fleet Safety Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Academic Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Concept Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,NGO Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Media Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Metro Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Material Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Database Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Chapter Development Officer Central Region,1,Development Officer,11648,Development Officer,12895
Non-Profit,Consumer Goods Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Neighbourhood Development Officer,16,Development Officer,11648,Development Officer,12895
Non-Profit,School Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Work Based Learning Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Urban Development Officer,19,Development Officer,11648,Development Officer,12895
Non-Profit,Library Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Stewardship,3,Development Officer,11648,Development Officer,12895
Non-Profit,Gender Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Sport,3,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Midwest Region,1,Development Officer,11648,Development Officer,12895
Non-Profit,Music Festival Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Africa Women Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Disability Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Audience Development Officer,16,Development Officer,11648,Development Officer,12895
Non-Profit,Wales Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Web Subscription Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Engineering College Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Technology Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Asia Proposal Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,District Development Officer,21,Development Officer,11648,Development Officer,12895
Non-Profit,Women Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Property Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,City Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Alcohol Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Hub Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Casual Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Involvement Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Programmes Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Aboriginal Sector Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Game Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,BME Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Constituent Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Skill Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Infrastructure Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Integration Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Dealer Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Associative Life Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Diocesan Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Institution Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Trust Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Rehabilitation Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Ireland The Republic Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Exhibitions Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Standards Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Provincial Women,1,Development Officer,11648,Development Officer,12895
Non-Profit,Commissioning Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Energy Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Congregational Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Revenue Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Software Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Gaelic Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Trusts Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Parish Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Partner Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Bookstore Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Apprenticeship Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Policy Coherence,1,Development Officer,11648,Development Officer,12895
Non-Profit,Personal Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Cricket Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Early Childhood Development Officer,15,Development Officer,11648,Development Officer,12895
Non-Profit,Government Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Advice Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Multicultural Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Society Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Marine Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,TFT LPTP Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Palliative Care Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Members Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Stock Transfer Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Innovation Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Special Needs Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Philanthropy Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,State Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Race Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Experience Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Aquaculture Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Volunteering,1,Development Officer,11648,Development Officer,12895
Non-Profit,Temporary Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Consultation Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Leisure Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Time Bank Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Public Partnerships Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Process Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Veterinary Medicine Development Officer College,1,Development Officer,11648,Development Officer,12895
Non-Profit,Archaeological Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Asia Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Doctrine Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Affiliate Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Placement Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Financial Development Officer,18,Development Officer,11648,Development Officer,12895
Non-Profit,Cluster Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Standard Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Courseware Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Brand Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Asset Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Physical Activity Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Competence Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Forest Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Sector Development Officer,18,Development Officer,11648,Development Officer,12895
Non-Profit,Contract Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Activity Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Town Centre Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Access Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Forum Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Helpline Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Activities Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Employability Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Information Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Course Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer UK,1,Development Officer,11648,Development Officer,12895
Non-Profit,Violence Against Women Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Portal Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Income Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,London Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Ministry Development Officer,15,Development Officer,11648,Development Officer,12895
Non-Profit,Environment Wales Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Horticulture Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Southern Africa Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Societies Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Printing Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Centre Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Outreach Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Capital Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Intermediary Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Council Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Information,1,Development Officer,11648,Development Officer,12895
Non-Profit,Scientific Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Livelihoods Development Officer,4,Development Officer,11648,Development Officer,12895
Non-Profit,Agrotech Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Equalities Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Participatory Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Cooperatives Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Website Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Childcare Development Officer,20,Development Officer,11648,Development Officer,12895
Non-Profit,Internship Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer,9505,Development Officer,11648,Development Officer,12895
Non-Profit,Civil Society Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Finance Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Donor Development Officer,54,Development Officer,11648,Development Officer,12895
Non-Profit,Former Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Park Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Carers Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,England Development Officer East,1,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Africa,1,Development Officer,11648,Development Officer,12895
Non-Profit,Reunions Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Voluntary Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Major Donor Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Foundations Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Benefits Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Digital Collaborative Tools Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Technical Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Tender Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Locality Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,New Media Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Retired Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Families Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Multimedia Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Educational Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Qualifications Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Transition Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Campus Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Acting Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Knowledge Development Officer,3,Development Officer,11648,Development Officer,12895
Non-Profit,Joint Block Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Gateway Development Officer,1,Development Officer,11648,Development Officer,12895
